company_name,website,est_agents,specialization,notes
Crestbrick Pte Ltd,https://www.crestbrick.com,41,Boutique residential investment,Pod-based investment strategy. 4000+ investor community.
Realstar Premier Group,https://www.realstarpremier.com,96,Luxury landed GCBs,$18B+ transacted. William Wong led. Prime districts.
SG Luxury Homes,https://www.sgluxuryhomes.com.sg,20,Luxury $2M-$100M+ GCBs,$2B sales. Bloomberg featured. High-value = elevated AML scrutiny.
WTG Property,https://www.wtg.com.sg,20,Luxury generational wealth,5x avg transactions. Multi-generational clients = complex CDD.
SHE Real Estate,https://www.sherealestate.sg,15,High-end new developments,$330M under representation. Sothebys/CBRE partnerships.
Vesper Homes,https://www.vesperhomes.com,9,Residential rentals sales,London-originated boutique. White-glove service.
Isabel Redrup Agency,https://www.isabelredrup.com,10,Shophouses conservation properties,Heritage specialist. CEA L3009387E. High-value deals.
Reapfield Property Consultants,https://www.reapfield.com.sg,6,International investment,Since 2002. AU/NZ/UK focus.
Owee Commercial Real Estate,https://www.owee.com.sg,5,Commercial industrial,CEA L3010806Z. Boutique commercial specialist.
Property Prive,,15,HDB condo landed,Tricia Chong led. Resale condo expertise.
SG Luxury Condo,https://www.sgluxurycondo.com,15,Luxury condos,James Lim led. Bespoke solutions.
Shophouse.club,https://www.shophouse.club,12,Shophouses boutique hotels,Simon Monteiro led. 20+ years. Invitation-only = high-net-worth clients.
Homy,https://www.homy.sg,20,HDB resale condo,10+ years experience.
Housed,https://www.housed.sg,25,HDB specialist,Low commission model. 7+ years.
Homeseller SG,https://www.homeseller.sg,15,HDB resale,Fixed $1999 commission. 800+ transactions.
KF Property Network,https://www.kfpn.com.sg,145,Prime residential districts,Knight Frank affiliated. Recently shrunk from 274.
SN Real Estate,https://www.snrealestate.com.sg,171,Industrial commercial,E-Centre Redhill based.
Singapore Estate Agency (SEA),https://www.sea.sg,100,General residential,Founded 2009. Top 20 player.
