start	end	text
0	2000	I will be free.
4000	6000	I will be back, but I should be okay.
6000	11000	Okay, okay. Maybe just a quick call up just to find the specification and stuff.
18000	28000	To structure other lines, map product, the inventory, ambiguity, generate, speed, disruptions, confirmation, trading, response.
30000	34000	Transcript.
50000	52000	You just want to dig on Kennedy, I think.
52000	55000	It should be enough to visualize the...
55000	63000	I mean, it's a accurate and very simplified version of what we went through with Mobin.
63000	65000	Yeah, so I guess the...
65000	69000	What I want to know is, if...
69000	71000	Like, what is the complexity?
71000	74000	And like, what do you really want?
74000	77000	Because if you want to do a small slice, right, it's quite simple.
77000	81000	If you want to do like a whole zheng ERP system, right, that's a different story.
81000	85000	No, I don't think we'll be getting an ERP system for this.
85000	88000	Because we'll be using our ERP system for a very long time, really.
88000	90000	So everyone got you very used to this.
90000	92000	I mean, I'm not saying that it shouldn't change.
92000	93000	It should change.
93000	97000	But I think it should be a ramp up from stage one.
97000	105000	So instead of telling you what I need, right, I think you captured my pain points for the whole thing,
105000	111000	which is that it is very time consuming, very tedious, very manual to think all this right now.
111000	116000	So human, human reliance, prone to error and things like that, standard thing.
116000	120000	So I want to make things easier for the night shift.
120000	123000	I'm not cancelling the night shift job position permanently,
123000	128000	because there are still like hotlines, hardlines, you know, coming through.
128000	134000	But I want to simplify its workflow to make sure that whatever that's been captured and sent by our customers
134000	138000	are accurate enough for the morning ops to draw the inventory.
138000	141000	So that's the number one and most important thing.
141000	144000	That is quite simple, to be honest.
144000	147000	Like, I'm your bro, right? I'm not going to lie to you, right?
147000	149000	It's actually quite simple.
149000	151000	Like, most of it is WhatsApp, right?
151000	154000	That's what, you know what, the handwriting, then tweet.
154000	156000	Luckily, yeah, I can read.
156000	164000	I mean, like, I don't think it is difficult to capture text.
164000	175000	I think it's very difficult to capture, first of all, dialects, you know, accents, different mixture of singlish, you know, that kind of thing.
175000	178000	And oversimplified all this.
178000	183000	Like, I explained to Marvin, for example, you say, hey, I want pork, five kilos.
183000	184000	I want to be very low, okay?
184000	187000	But the pork, just that one more, right?
187000	191000	It can be, like, hundreds of possibilities in our inventory.
191000	197000	So I need to map whatever he says according to his historical data and what's in our system.
197000	199000	That kind of thing.
199000	201000	That is the difficult part.
201000	208000	Okay, so, like, I guess, the dialect part, right, it shouldn't be too hard, okay?
208000	213000	The hard part is, like, verifying against a source of truth to create, like, some sort of rule set.
213000	217000	So that when something comes in, right, you validate whether it hits all the criteria.
217000	221000	So, like, pork, weight, which exact pork, like, you know what I mean, right?
221000	224000	Then the question is, like, where does that source of truth live?
224000	229000	Because you can connect it to, once you have that source of truth somewhere, right?
229000	233000	Once you pull that data into, you know, the LOM brain, right?
233000	236000	Then you can actually validate the incoming with the rules.
236000	239000	Then you say, like, fuck you, insufficient.
239000	240000	I need more information, right?
240000	243000	That's basically the triage that needs to happen, right?
243000	248000	I, let's just do, like, a stupid man job, okay?
248000	253000	I can provide you guys with the, for example, Murphy's ordering items.
253000	255000	One to a hundred, okay?
255000	257000	This is everything he's going to order.
257000	260000	That's everything he's going to need for his daily ops, okay?
260000	266000	I'm able to provide to you the whole list of items that our sales has confirmed with him.
266000	268000	This is all the items that you need.
268000	273000	So when he says something or when he inputs something, it can be matched.
273000	278000	Yeah, and then the idea is that, like, is this a source of truth, right?
278000	280000	Is it Excel, I guess?
280000	283000	Or is it like a random PDF?
283000	284000	Not really important, but I'm just kind of curious.
284000	286000	And how often is it updated?
288000	290000	That's the good question.
290000	293000	So it is being updated in our ERP system.
293000	298000	But our ERP system have a three-month validity of historical orders.
298000	303000	So if you order this thing, like, on the 1st of January and you never order for three months,
303000	309000	so from the 1st of April, it will be, like, pushed down, like, away, pushed away from the order history.
309000	310000	Yeah.
310000	314000	So I can generate, I hope I can.
314000	317000	I'll call the IT site to double-check.
317000	319000	I can generate that for you guys.
319000	327000	But the most stupid way is to actually the product descriptions in the WhatsApp group itself.
327000	330000	The WhatsApp group itself meaning, like…
330000	341000	Like, usually our SOPs, whatever sales close with the customer, right, they will create a WhatsApp group from involving the ops, the finance, the customer, and sales, and blah, blah, blah.
341000	350000	And the sales will actually input all the products, information, and specs inside the group chat description.
350000	353000	So this is to check against…
353000	357000	This is for the night shift guys to check against when they don't know what…
357000	358000	Like, exactly what happened.
358000	359000	Hey, pork.
359000	360000	What pork?
360000	363000	You know, then he will open up the group chat description and say,
363000	364000	Oh, actually, he only…
364000	365000	We order one kind of pork.
365000	368000	Then you just write down that pork.
368000	370000	But slowly and slowly, surely,
370000	374000	He doesn't need that anymore because the moment he sees this customer, he knows already,
374000	376000	Oh, this fucker, only the same thing again.
376000	378000	But he just gonna say pork.
378000	380000	Yup, yup, okay.
380000	382000	So, I guess…
382000	385000	So you have your description written.
385000	388000	The WhatsApp group description doesn't get outdated, ah?
388000	389000	Sometimes I guess you will…
389000	390000	Oh…
390000	391000	Yeah, go ahead.
391000	396000	I mean, they will miss out, but it's the job of sales to keep on updating whenever there are changes.
396000	400000	But usually there won't be significant updates to them.
400000	402000	Oh, I would say 90% of the items.
402000	404000	Only like miscellaneous.
404000	408000	For example, like, oh, I actually have one pork belly, one cm.
408000	410000	But, ah…
410000	412000	Last month I ordered like…
412000	414000	Well, I told you I confirmed like 0.1 cm.
414000	416000	You know that kind of thing.
416000	417000	Okay, okay.
417000	418000	The nuance, ah?
418000	419000	The…
419000	420000	Yeah.
420000	421000	So the pain is…
421000	422000	The…
422000	423000	In the day you don't have problems, ah?
423000	424000	Is it?
424000	426000	Because your staff is on duty, ah?
426000	427000	Is that what I'm hearing?
427000	428000	Yes, correct.
428000	429000	So…
429000	430000	So what I'm…
430000	432000	Why the job gets easier in the daytime?
432000	433000	Because when they are trying…
433000	435000	For example, ah…
435000	436000	Let's say Mervin plays a…
436000	439000	Is a customer, plays an order at the night shift.
439000	441000	He's supposed to order one cm thickness.
441000	442000	Okay.
442000	443000	But, ah…
443000	445000	The night shift just wrote 0.1.
445000	446000	Okay.
446000	451000	So, in the daytime, I mean, when I'm keying in the order into my ERP system to generate an invoice,
451000	453000	I was like, hey, cannot be.
453000	455000	He has been ordering…
455000	461000	The correct one, but he's now saying that he needs a 0.1.
461000	465000	So, I will manual correct, or I will go and check with the customer.
465000	466000	Hey, you yesterday ordered 0.1, is it?
466000	467000	But you are actually…
467000	468000	What you've been ordering for months, ah?
468000	469000	It's 1 cm.
469000	470000	That kind of thing.
470000	474000	So, this mistake goes away with the double authentication.
474000	475000	With your staff, lah?
475000	476000	Yes.
476000	477000	And all the…
477000	478000	All the history.
478000	483000	When they check, hey, the order history don't have, you know, this spec.
483000	484000	So, they will check.
484000	486000	They will message, they will call.
486000	487000	Okay, okay.
487000	488000	So, I mean, the…
488000	489000	The only…
489000	491000	The thing that it hinges on, right?
491000	492000	Is your ERP is built by who?
492000	494000	I know you use some dev shop in India, right?
494000	496000	That's what I last remember.
496000	497000	Yup.
497000	499000	Then, there's the ERP API.
499000	500000	No, right?
500000	501000	It's a…
501000	503000	I guess you can only export, right?
503000	504000	Uh…
504000	505000	I…
505000	506000	A…
506000	507000	I…
507000	509000	Think can export.
509000	510000	But because…
510000	511000	Oh, yeah.
511000	513000	One of the thing is that, you know, this kind of, like…
513000	514000	They show in India.
514000	518000	When you are adding something to the system built by them, right?
518000	519000	It's easy.
519000	520000	Because they…
520000	521000	They want to earn that money, man.
521000	522000	So, when you…
522000	525000	Get a third party to try to add something to…
525000	529000	What they have done, and they are not earning the money, they create a lot of problems.
529000	530000	For…
530000	531000	For everyone.
531000	535000	He, this cannot, that cannot, wrong data, you know, push wrong, pull wrong, you know, that…
535000	536000	That kind of shit.
536000	537000	So, we tried a few times, then…
537000	538000	All failed because of this.
538000	539000	Yeah, yeah.
539000	540000	Makes sense.
540000	541000	So, actually…
541000	542000	Cooling data shouldn't be an issue.
542000	543000	Yeah, but you want to take the stupidest version, right?
543000	544000	That will solve your problem, right?
544000	545000	Is that, you just export whatever.
545000	546000	Like, you SKU lists, right?
546000	547000	And then, uh…
547000	560000	Like, if you can export the order history of the customer, it would be even better,
560000	561000	but I guess it's optional.
561000	567000	Then you just match that with the WhatsApp order that comes in, right?
567000	571000	And then, if you can have the order history exported as well, you just match that with…
571000	574000	And then flag any discrepancy and say like, okay, how come most of the time it's like this,
574000	575000	then now this is different.
575000	581000	Then you just flag it as like, oh, you should probably look out for this because it's…
581000	586000	Firstly, uh, doesn't fit any of the SKUs that we have listed, and secondly, or it doesn't
586000	589000	fit the pass order experience that we had with this client.
589000	593000	Then your day shift will just come in and report saying like, okay, fuck, WhatsApp came
593000	597000	in last night, but we flagged these two things and then can you go chase?
597000	600000	But the rest of it should be, if it's all clear, right, it can be a straight-through pass
600000	601000	la.
601000	602000	Does that make sense?
602000	603000	Yes.
603000	604000	Yes.
604000	605000	That can be one of the…
605000	608000	I mean, that's the ideal situation.
608000	616000	So, I'm not sure how physical is this, but maybe you can request for like, weekly pooling
616000	622000	of data from my current ERP system to sync with whatever that you guys are doing, the
622000	623000	order histories.
623000	630000	So, I don't need to be like daily update because I don't know how strenuous it is on the cloud
630000	632000	and servers and things like that.
632000	639000	But, I think weekly or something like that, once in a fortnight, pooling data just to
639000	644000	double, just to update, would be nice also.
644000	646000	Yeah, and there are two ways to do it, right?
646000	648000	One is like, you can do the dummy way, right?
648000	652000	Which is that if your ERP has a big export button, which is export everything, and you
652000	656000	just store everything in like, literally a container in the cloud, right?
656000	661000	And then I can just pull from there, and then once you export again, then you override that
661000	662000	one, you know what I mean?
662000	663000	That's the manual way, right?
663000	666000	But if you want to get fancy, you can do automatic pull, but I don't think it's necessary.
666000	669000	If you're saying weekly basis, then it's, you know what I mean?
669000	674000	You just click one button once a week, then everything comes out, and just pull from there.
674000	675000	You know what I mean?
675000	678000	That's like the real MVP sort of…
678000	679000	Yeah.
679000	680000	Yeah.
680000	682000	Then it's not that deep, you know what I mean?
682000	686000	Then you actually, what you really need to solve is the WhatsApp automation layer.
686000	689000	How about this way?
689000	699000	When you guys are building or designing this, give me like, like access to modify the order
699000	703000	history within your app itself.
703000	709000	So that for example, if this, suddenly I need, I don't know if I need, I need donkey, okay?
709000	712000	I need donkey meat today and see something new.
712000	716000	But when they try to order today, they won't be able to see from the order history because
716000	718000	that will be the first time that they are doing that.
718000	724000	So when this kind of thing happened, I can only imagine is that, okay, I will let my guys, okay,
724000	731000	can you go to whatever that you guys are building, just input donkey, you know, as create like a,
731000	735000	like a pseudo order history like that so that it's able to capture.
735000	736000	Yeah.
736000	738000	Why would donkey come up?
738000	742000	I mean, we brought in new products, okay?
742000	745000	First wave, like the, like the pig's blood, okay?
745000	748000	It just came to Singapore literally just weeks.
748000	750000	So a lot of customers are new to this.
750000	753000	They are starting their first order as pig's blood, new.
753000	759000	Then when they order and they didn't sink in time with my ERP system or whichever cloud,
759000	762000	then it creates a big jam, right?
762000	763000	I suppose.
763000	764000	But these are exceptions, right?
764000	765000	These are not the rule, right?
765000	767000	They're not going to be super frequent, right?
767000	768000	Yeah.
768000	778000	I mean, with a daily order of 200 something, I'm not sure how many new items are being discussed
778000	780000	every day, you know, that's the thing.
780000	781000	Yeah, yeah.
781000	784000	So the, the, I mean, the way you can think of it, right, is that you, what you want to do
784000	786000	is first cut all the bulk volume first.
786000	787000	You don't want a perfect solution, right?
787000	790000	You cut the 250 standard things first.
790000	792000	Then you show the 50 things.
792000	793000	I don't know what the ratio is, right?
793000	796000	And say like, okay, for now we'll do a manual.
796000	798000	I mean, you still need some guy in the morning to check it, right?
798000	800000	You still have someone doing the night shift.
800000	801000	You say you're not going to fire the guy, right?
801000	806000	So the guy can handle the exceptions, but at least he knows like the bulk stuff is being
806000	807000	cleared, right?
807000	811000	And then the, the exceptions can be cleared manually, right?
811000	814000	Then that's the, that's the V1, the, the bare minimum.
814000	815000	Then actually that's the most lift.
815000	817000	You'll solve a lot of pain with that, right?
817000	822000	Then you can slowly turn the system to sort of, you know, take the exceptions and start solving
822000	824000	them one by one, right?
824000	825000	And then there's more work.
825000	829000	But if you want to do like, let's say you want to solve the problem today, it's not that
829000	830000	hard, right?
830000	834000	And I think why I always think, yeah, just solve the big problem first, then you just
834000	835000	follow the stuff.
835000	836000	You can just clear up after that, right?
836000	837000	One by one.
837000	838000	You know what I mean, right?
838000	839000	Yeah.
839000	842000	And I guess like the big problem is really that you have how many WhatsApp groups?
842000	843000	Like 200, 300?
843000	844000	Like thousands.
844000	845000	Huh?
845000	846000	Say again?
846000	847000	Thousands.
847000	848000	Thousands, right?
848000	849000	Yeah.
849000	852000	So the hard part is actually tracking the thousands of WhatsApp and figuring out like what the hell
852000	857000	is coming in every night, making sure that everything is like, like the stuff that is easily
857000	858000	solved is solved, right?
858000	859000	Then I think 80% of your pain will go away.
859000	860000	No?
860000	861000	Yes.
861000	873000	So I think what I can try to map out on my end is actually the export API from my current
873000	874000	ERP system.
874000	883000	So I'll generate, I'll ask the team to try to generate customer names with address with order
883000	884000	history.
884000	885000	Yeah.
885000	886000	That'll be perfect.
886000	887000	Then SKU list, right?
887000	888000	Yeah.
888000	889000	Pack them together.
889000	890000	Yeah.
890000	891000	You pack them together into one single source of truth, right?
891000	892000	And this can be synced weekly for now, right?
892000	897000	We can always move it to daily in future because if your dev shop in India is like anywhere close
897000	898000	to being competent, right?
898000	899000	They can get this done in five minutes, I think.
899000	900000	But let's just do weekly first because like don't talk to them, right?
900000	901000	You really know how it's going to go, right?
901000	902000	You do that weekly.
902000	903000	Once you have that, then what I can do for you is your thousand WhatsApp groups, everything,
903000	904000	whenever the message comes in, right?
904000	905000	You automatically cross references that source of truth, right?
905000	912000	And it comes up with a preliminary answer, which says that, okay, based on the rules that you
912000	916000	say, this order is missing information or it is fucking an exception.
916000	917000	It's not in the sink right now, in the source of truth, right?
917000	926000	But these two things will reflect for either the person, you can also automate the back
926000	931000	and forth, but for now it will reflect to a person and the person will just go to the
931000	933000	guy and say, hey, bro, you're already missing something, bro.
933000	934000	You're already missing something, bro.
934000	935000	You're already missing something, right?
935000	936000	You're already missing something, right?
936000	937000	You're already missing something, right?
937000	938000	You're already missing something, right?
938000	939000	You're already missing something, right?
939000	940000	You're already missing something, right?
940000	941000	You're already missing something, right?
941000	942000	You're missing something, right?
942000	943000	You're missing something, right?
943000	944000	You're missing something, right?
944000	945000	You're already missing something, right?
945000	946000	You're already missing something, right?
946000	947000	You're already missing something, right?
947000	948000	You're already missing something, right?
948000	949000	You're missing something, right?
949000	952000	And with an exception, then the person will just take over and check the ERP manually and
952000	955000	say like, okay, actually, we actually do have this order.
955000	956000	Does it make sense?
956000	961000	Then the bulk cases will be cleared and your team should be quite happy with that.
961000	965000	That's usually how it goes with, I mean, I've done this a few times already, but you
965000	967000	don't try to solve the whole thing at once, you know?
967000	968000	You kill yourself off.
968000	969000	Yeah.
969000	973000	So actually from the WhatsApp side of things, right, it's quite straightforward.
973000	974000	I know how to do it, right?
974000	978000	And then if you sync everything into an Excel for now, right, it's actually probably good
978000	979000	enough.
979000	980000	You don't need to build a fancy dashboard.
980000	983000	I mean, you can, but I don't think it's necessary.
983000	985000	Just put it in an Excel nicely, right?
985000	987000	Everyday you get one sheet, right?
987000	990000	And the sheet will be color coded with like, okay, this is fucked up.
990000	991000	This is not fucked up.
991000	992000	Can't really.
992000	993000	Can't really.
993000	994000	That's one thing, right?
994000	995000	Then it's printable.
995000	996000	Second.
996000	1001000	So I do have some requirements on the format.
1001000	1004000	First of all, it needs to be a printable thing.
1004000	1005000	All right.
1005000	1008000	So because after it's being segregated into different routes and things like that, right,
1008000	1013000	they need to print this shit out and hand over to the inventory team for them to draw
1013000	1017000	according to the list, according to the sequence of the jobs.
1017000	1018000	Okay.
1018000	1019000	This is point number one.
1019000	1024000	Second, there are certain format I want it to be printed.
1024000	1029000	For example, like how much space actually you should leave behind every line.
1029000	1032000	What's the spacing on all these items?
1032000	1035000	They're very miscellaneous, small, small things, but this is something that actually
1035000	1039000	is quite important and critical in my operation.
1039000	1040000	Okay.
1040000	1042000	This one, 100% can be done.
1042000	1044000	All I need, okay, what format is it?
1044000	1046000	PDF or is it a, what do you normally print?
1046000	1047000	I need a Word Dog.
1047000	1048000	PDF.
1048000	1050000	PDF would be okay.
1050000	1051000	Yup.
1051000	1052000	Yup.
1052000	1055000	And then all the exact specifications, the minutiae, right, can be done because like,
1055000	1060000	you can think of it as like, when you use a computer to do it, everything becomes guaranteed
1060000	1061000	formatting, right?
1061000	1063000	You know, human beings make mistakes formatting, right?
1063000	1064000	Computers don't, because it's rule-based.
1064000	1065000	You know what I mean?
1065000	1068000	You write a script and the script will always put it in this format, right?
1068000	1073000	So the key part here is like, firstly, you need to show me one example, right?
1073000	1078000	Then I will infer all the formatting that you want and I confirm with you.
1078000	1084000	And after that, you should always be shut out in the same way every single time in any format
1084000	1085000	you want.
1085000	1089000	Because turning Excel into anything is a trivial task, but let's put it this way.
1089000	1090000	Yeah.
1090000	1091000	Let me show you something.
1091000	1092000	Sure.
1092000	1093000	It should be something like that.
1093000	1094000	You sign on what?
1094000	1095000	What's that?
1095000	1096000	Oh, Tele.
1096000	1097000	Tele, you say.
1097000	1098000	Yeah, yeah, yeah, yeah.
1098000	1099000	No, no, no, no.
1099000	1100000	But, so how do you normally do this today actually?
1100000	1101000	That's what I'm curious about.
1101000	1117000	Because this is actually a prototype from the current, current, current, current, current
1117000	1118000	IT company.
1118000	1125000	But we do face a lot of resistance because it's all built in one from ordering all the
1125000	1128000	way until inventory drawing.
1128000	1135000	So, but the tricky part is that the customer needs to access to links and passwords and things
1135000	1136000	like that.
1136000	1140000	So, a lot of these fuckers are just too lazy to operate on their own.
1140000	1142000	So, this just dies off.
1142000	1145000	So, what we are doing now is physical writing.
1145000	1152000	Like when they take call and take message, they are physically writing items on the list.
1152000	1155000	Oh, but you, you, the one you sent me is not written, right?
1155000	1156000	It's printed, right?
1156000	1157000	This is, this is printed.
1157000	1158000	This is printed.
1158000	1161000	Which is the prototype that we are not using.
1161000	1162000	Oh, okay, okay, okay.
1162000	1163000	And why are you not using it?
1163000	1164000	It's because the...
1164000	1167000	Because, if you try a...
1167000	1169000	For example, me and Movin are two different customers.
1169000	1175000	Each of us will have a different unique link for us to access, to place orders.
1175000	1178000	They need to go into the link and place orders.
1178000	1180000	But, they are too lazy to do that.
1180000	1185000	They just want to send like a voice message to make their job easier and make our job hard.
1185000	1188000	So, that's the, that's the g's of it.
1188000	1190000	Okay, voice message also can do actually.
1190000	1191000	That one is under the...
1191000	1192000	Anything WhatsApp input, right?
1192000	1193000	Is solvable basically.
1193000	1194000	As long as it comes in...
1194000	1195000	WeChat?
1195000	1196000	WeChat, I'll log into it.
1196000	1197000	How, how much of it is WeChat?
1197000	1201000	About WhatsApp, I know, weChat can be done, but I need to go research.
