company_name,website,source,notes
A4 International Pte Ltd,https://www.a4international.com,ASM Directory,
Abacus Property Management Pte Ltd,https://www.abacusproperty.sg,ASM Directory,17 years experience. Manages commercial industrial government sites. ISO 9001 certified. 90% site automation via in-house systems.
Absolut Properties Pte Ltd,https://www.absolutprop.com,ASM Directory,
Asia Properties and Assets Consultancy Pte Ltd,https://www.asiapty.com,ASM Directory,Est. 2018. Manages 70+ properties. 180 staff.
AGM Real Estate Management Pte Ltd,https://www.vincorem.com.sg,ASM Directory,
Chambers Property Management Services Pte Ltd,https://www.chambersinternational.com.sg,ASM Directory,
CWL Facilities Management Pte Ltd,,ASM Directory,Est. 2015. Category A Accredited. ISO certified. 3 directors.
Eric Ong & Associates Pte Ltd,,ASM Directory,
Exceltec Property Management Pte Ltd,https://www.exceltec.com.sg,ASM Directory,
Nouvelle Property Management Solutions Pte Ltd,https://www.nouvellepms.com,ASM Directory,
Ocean IFM Pte Ltd,https://www.oceanifm.com,ASM Directory,
Premier Property Consultancy Pte Ltd,https://www.premierproperty.com.sg,ASM Directory,
CBRE Pte Ltd,https://www.cbre.com,ASM Directory,Global player - likely too large
Rhodo Property & Estate Management Services Pte Ltd,,ASM Directory,Est. 1994. Founder-led. 30+ site offices. Custom/manual processes likely.
Raffles Strata Management Pte Ltd,https://www.rsm.com.sg,ASM Directory,
Savills Property Management Pte Ltd,https://www.savills.com.sg,ASM Directory,Global player - likely too large
SMART Property Management (S) Pte Ltd,https://www.smartproperty.sg,ASM Directory,Merger of SteadLink + SunProp. Manages 170+ properties. 260+ staff.
Teams Strata Management Services Pte Ltd,https://www.teamssms.com,ASM Directory,Founded 2012. Best PM Company 2023. Small firm - unlikely enterprise software.
Wisely 98 Pte Ltd,https://www.wisely98.com,ASM Directory,
OhMyhome Property Management Pte Ltd,https://pm.ohmyhome.com,ASM Directory,
Olympian Property Management Pte Ltd,https://www.opmcst.com.sg,ASM Directory,
Stature Real Estate Enterprises Pte Ltd,,ASM Directory,
Realtylink Consultancy Pte Ltd,,ASM Directory,
Tri-Property Asset Management Pte Ltd,,ASM Directory,Est. 2016. Hands-on developer TOP support. Small dedicated team.
D'Proman & Co. Pte Ltd,,ASM Directory,
ECHT Property Consultants Pte Ltd,,ASM Directory,
OneSG Holding Pte Ltd,https://www.onesg.biz,Web Research,20+ years experience. Commercial/industrial. Strong M&E expertise.
Bond Properties,https://www.bondproperties.sg,Web Research,Est. 1987. Manages 40+ condos plus commercial industrial. Legacy firm.
Phamous Facilities Management,https://www.phamous.com.sg,Web Research,Est. 2010. Full-service MA. Building own digital platform.
Property Facility Service (PFSPL),https://www.pfspl.com.sg,Web Research,32+ years. 66 employees. 48+ properties. Building proprietary tools.
Landsfield Property Consultants,https://www.landsfield.com,Web Research,Est. 1985. 12000+ units across 180 properties.
