company_name,website,description,enterprise_software_indicator
Teams Strata Management Services,https://www.teamssms.com,Founded 2012. Manages residential commercial industrial. Best PM Company 2023.,Small firm - unlikely enterprise software
SG Managing Agent (SGMA),https://www.sgma.sg,Newly established (UEN 2025). Boutique strata management. Technology-driven.,Startup - building own tech stack
Tri Property Asset Management,https://www.triproam.com.sg,Est. 2016. MCST for residential commercial industrial. Hands-on developer support.,Mid-size boutique - custom solutions likely
OneSG Holding,https://www.onesg.biz,20+ years experience. Commercial/industrial estates. Strong M&E expertise.,Independent firm - unlikely enterprise
Bond Properties,https://www.bondproperties.sg,Est. 1987. Manages 40+ condos plus commercial industrial warehouses. MY AU Bintan too.,Legacy firm - likely traditional systems
Rhodo Property & Estate Management,https://www.rhodoem.com,Est. 1994. Founded by builder banker accountant. 30+ site offices island-wide.,Founder-led - custom/manual processes likely
CWL Facilities Management,https://www.cwl.sg,Est. 2015. Category A Accredited. ISO certified. Strata-titled commercial/industrial. 3 directors.,Small team - unlikely enterprise PM software
Phamous Facilities Management,https://www.phamous.com.sg,Est. 2010. Full-service MA. Multi-disciplinary team. In-house digital platform.,Building own tech platform
Corporate Visions,https://www.corporatevisions.sg,Est. 2002. Industrial/commercial RE. Business parks factories warehouses offices retail. 2000+ clients.,Brokerage-focused - not PM software users
Abacus Property Management,https://www.abacusproperty.sg,17 years. Commercial industrial government (SportsSG SMU). ISO 9001. 90% site automation in-house.,Building own automation - not Yardi/MRI
Asia Properties & Assets Consultancy,https://www.asiapty.com,Est. 2018. 70+ properties. 180 staff. Fast-growing.,Growth stage - likely not legacy enterprise
Smart Property Management,https://www.smartproperty.sg,Merger of SteadLink+SunProp. 170+ properties. 260+ staff. Facilities mgmt for commercial.,Mid-size - may have custom solutions
Landsfield Property Consultants,https://www.landsfield.com,Est. 1985. 12000+ units across 180 properties. Commercial industrial mixed-use.,Established - mixed systems likely
Property Facility Service (PFSPL),https://www.pfspl.com.sg,32+ years. 66 employees. 48+ properties. Proprietary tools for vendor tracking.,Building own proprietary tools
