type,provider,metric,unit,low,base,high,notes,source
rate,Browserbase,fixed_plan_fee,usd/month,20,20,20,Developer plan,https://www.browserbase.com/pricing
rate,Browserbase,included_browser_hours,hours/month,100,100,100,Developer plan inclusion,https://www.browserbase.com/pricing
rate,Browserbase,browser_hour_overage,usd/hour,0.12,0.12,0.12,After included hours,https://www.browserbase.com/pricing
rate,Browserbase,included_proxy_gb,gb/month,1,1,1,Developer plan inclusion,https://www.browserbase.com/pricing
rate,Browserbase,proxy_overage,usd/gb,12,12,12,After included proxy data,https://www.browserbase.com/pricing
rate,Firecrawl,fixed_plan_fee,usd/month,16,16,16,Hobby plan,https://www.firecrawl.dev/pricing
rate,Firecrawl,included_credits,credits/month,3000,3000,3000,Hobby plan inclusion,https://www.firecrawl.dev/pricing
rate,Firecrawl,credit_overage,usd/credit,0.009,0.009,0.009,$9 per extra 1k credits,https://www.firecrawl.dev/pricing
rate,Composio,fixed_plan_fee,usd/month,29,29,29,$29 plan,https://composio.dev/pricing
rate,Composio,included_tool_calls,calls/month,200000,200000,200000,$29 plan inclusion,https://composio.dev/pricing
rate,Composio,tool_call_overage,usd/call,0.000299,0.000299,0.000299,$0.299 per 1k calls,https://composio.dev/pricing
rate,Composio,included_premium_calls,calls/month,5000,5000,5000,Premium calls allowance on $29 plan,https://composio.dev/pricing
rate,Composio,premium_call_overage,usd/call,0.000897,0.000897,0.000897,3x premium multiplier,https://composio.dev/pricing
rate,Supabase,fixed_plan_fee,usd/month,25,25,25,Assumption: Pro base fee used for modeling,https://supabase.com/docs/guides/platform/billing-on-supabase
rate,Supabase,egress_overage,usd/gb,0.09,0.09,0.09,From Pro/Team overage table,https://supabase.com/docs/guides/platform/billing-on-supabase
rate,Supabase,storage_overage,usd/gb,0.021,0.021,0.021,From Pro/Team overage table,https://supabase.com/docs/guides/platform/billing-on-supabase
rate,Vercel,fixed_plan_fee,usd/month,20,20,20,Pro plan seat (platform baseline),https://vercel.com/pricing
rate,Brave Search,search_request,usd/request,0.005,0.005,0.005,$5 per 1k requests,https://api-dashboard.search.brave.com/documentation/pricing
rate,Exa,search_request,usd/request,0.005,0.005,0.005,1-25 result search tier,https://exa.ai/pricing
rate,Exa,contents_text_page,usd/page,0.001,0.001,0.001,Text mode,https://exa.ai/pricing
rate,OpenRouter,platform_multiplier,x_spend,1.055,1.055,1.055,Pay-as-you-go platform fee 5.5%,https://openrouter.ai/pricing
rate,OpenAI Whisper,transcription,usd/min,0.006,0.006,0.006,Whisper model card shows $0.006 cost point,https://openai.com/index/whisper/
rate,Inworld,tts_max,usd/1m_chars,10,10,10,TTS-1.5-Max,https://inworld.ai/pricing
rate,Gemini 2.5 Flash,input_tokens_text_image_video,usd/1m_tokens,0.3,0.3,0.3,Standard paid tier,https://ai.google.dev/gemini-api/docs/pricing
